type, name, bits

STK_CTLR, STE, 0
STK_CTLR, STIE, 1
STK_CTLR, STCLK, 2
STK_CTLR, STRE, 3
STK_CTLR, SWIE, 31

STK_SR, CNTIF, 0

STK_CNTL, CNT, 0-31

STK_CMPLR, CMP, 0-31
